# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,MDGIJXXVTA,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,56,17
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 2.312964634635742664e-18, -9.651844262295100618e-01, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295101728e-01, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295101728e-01, 0.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295100618e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295100618e-01, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295100618e-01, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, -2.312964634635742664e-18, -9.651844262295098398e-01, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295100618e-01, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295097288e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -9.651844262295098398e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
2.733630797978938709e-01, 7.403129134138040565e-03, -9.599013114754116893e-01, 2.000000000000000111e-01, 0.000000000000000000e+00
2.733630797978939264e-01, 6.868231934369480041e-03, -9.629235755849423484e-01, 2.000000000000000111e-01, 2.500000000000000000e-01
2.733630797978938709e-01, 5.359809173577041730e-03, -9.652611206489887241e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
2.733630797978939264e-01, 3.022264109530594864e-03, -9.667695434097811624e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
2.733630797978938709e-01, 6.661338147750941307e-19, -9.673044406095496761e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
2.733630797978939264e-01, -3.022264109530595298e-03, -9.667695434097811624e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
2.733630797978939264e-01, -5.359809173577041730e-03, -9.652611206489887241e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
2.733630797978938709e-01, -6.868231934369481775e-03, -9.629235755849421263e-01, 2.000000000000000111e-01, 1.750000000000000000e+00
2.733630797978938709e-01, -7.403129134138042300e-03, -9.599013114754116893e-01, 2.000000000000000111e-01, 2.000000000000000000e+00
2.733630797978940374e-01, -6.868231934369476571e-03, -9.568790473658810303e-01, 2.000000000000000111e-01, 2.250000000000000000e+00
2.733630797978938709e-01, -5.359809173577041730e-03, -9.545415023018344325e-01, 2.000000000000000111e-01, 2.500000000000000000e+00
2.733630797978939264e-01, -3.022264109530594430e-03, -9.530330795410421052e-01, 2.000000000000000111e-01, 2.750000000000000000e+00
2.733630797978938709e-01, 1.391308830329843517e-18, -9.524981823412734805e-01, 2.000000000000000111e-01, 3.000000000000000000e+00
2.733630797978939264e-01, 3.022264109530597900e-03, -9.530330795410421052e-01, 2.000000000000000111e-01, 3.250000000000000000e+00
2.733630797978938709e-01, 5.359809173577044332e-03, -9.545415023018345435e-01, 2.000000000000000111e-01, 3.500000000000000000e+00
2.733630797978938709e-01, 6.868231934369486112e-03, -9.568790473658808082e-01, 2.000000000000000111e-01, 3.750000000000000000e+00
2.733630797978939264e-01, 7.403129134138040565e-03, -9.599013114754116893e-01, 2.000000000000000111e-01, 4.000000000000000000e+00
5.916333980807837456e-01, 3.968503998302479185e-02, -9.473031147540995622e-01, 4.000000000000000222e-01, 0.000000000000000000e+00
5.916333980807839676e-01, 3.661749957091765123e-02, -9.629036435071687272e-01, 4.000000000000000222e-01, 2.500000000000000000e-01
5.916333980807837456e-01, 2.819784555215370733e-02, -9.755009603062534396e-01, 4.000000000000000222e-01, 5.000000000000000000e-01
5.916333980807837456e-01, 1.560052875306910947e-02, -9.839206143250174286e-01, 4.000000000000000222e-01, 7.500000000000000000e-01
5.916333980807835236e-01, 7.494005416219805600e-19, -9.869881547371244235e-01, 4.000000000000000222e-01, 1.000000000000000000e+00
5.916333980807837456e-01, -1.560052875306910426e-02, -9.839206143250172065e-01, 4.000000000000000222e-01, 1.250000000000000000e+00
5.916333980807837456e-01, -2.819784555215371080e-02, -9.755009603062532175e-01, 4.000000000000000222e-01, 1.500000000000000000e+00
5.916333980807837456e-01, -3.661749957091765817e-02, -9.629036435071685052e-01, 4.000000000000000222e-01, 1.750000000000000000e+00
5.916333980807835236e-01, -3.968503998302479185e-02, -9.473031147540995622e-01, 4.000000000000000222e-01, 2.000000000000000000e+00
5.916333980807837456e-01, -3.661749957091764429e-02, -9.317025860010303973e-01, 4.000000000000000222e-01, 2.250000000000000000e+00
5.916333980807835236e-01, -2.819784555215371080e-02, -9.191052692019456849e-01, 4.000000000000000222e-01, 2.500000000000000000e+00
5.916333980807837456e-01, -1.560052875306911120e-02, -9.106856151831820290e-01, 4.000000000000000222e-01, 2.750000000000000000e+00
5.916333980807835236e-01, 1.565222434121073668e-18, -9.076180747710747010e-01, 4.000000000000000222e-01, 3.000000000000000000e+00
5.916333980807837456e-01, 1.560052875306911294e-02, -9.106856151831820290e-01, 4.000000000000000222e-01, 3.250000000000000000e+00
5.916333980807837456e-01, 2.819784555215371080e-02, -9.191052692019459069e-01, 4.000000000000000222e-01, 3.500000000000000000e+00
5.916333980807837456e-01, 3.661749957091767205e-02, -9.317025860010303973e-01, 4.000000000000000222e-01, 3.750000000000000000e+00
5.916333980807838566e-01, 3.968503998302479185e-02, -9.473031147540995622e-01, 4.000000000000000222e-01, 4.000000000000000000e+00
9.357795535139067367e-01, 8.160858614021250512e-02, -9.322665573770498870e-01, 5.999999999999999778e-01, 0.000000000000000000e+00
9.357795535139070697e-01, 7.522658257847342211e-02, -9.641259130294655977e-01, 5.999999999999999778e-01, 2.500000000000000000e-01
9.357795535139068477e-01, 5.778919446389058079e-02, -9.900557518409407454e-01, 5.999999999999999778e-01, 5.000000000000000000e-01
9.357795535139068477e-01, 3.185935565241559270e-02, -1.007493139955523809e+00, 5.999999999999999778e-01, 7.500000000000000000e-01
9.357795535139067367e-01, 4.996003610813205017e-19, -1.013875143517262600e+00, 5.999999999999999778e-01, 1.000000000000000000e+00
