...Slice...
1 Num Comps
10 Total Num Meshes
8508 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.000     0.000     0.000     0.000     0.000
    1.046     0.000     0.000     0.000     0.000
    2.093     2.093     0.096    -0.969     0.152
    3.140     3.140     0.105     0.920     1.883
    4.186     0.000     0.000     0.000     0.000
    5.233     5.233     0.227     0.632     0.070
    6.279     6.279    -0.093     0.276     0.260
    7.326     7.326    -0.078     0.376     0.613
    8.372     8.372     0.000     0.224     0.861
    9.419     9.419    -0.010     0.371     1.870
   10.466    10.466     0.076     0.926     5.093
   11.512    11.512    -0.299    -1.338     0.378
   12.559    12.559     1.078     1.469     5.115
   13.605    13.605     1.141     1.511     6.032
   14.652    14.652    -0.005     1.647    13.093
   15.698    15.698    -0.014     0.931    18.449
   16.745    16.745    -0.002     0.062    24.605
   17.792    17.792    -0.001     0.022    27.669
   18.838    18.838     0.041    -0.130    29.707
   19.885    19.885    -0.052    -0.204    30.931
   20.931    20.931    -0.026    -0.295    33.064
   21.978    21.978     0.003    -0.364    37.035
   23.024    23.024    -0.007    -0.407    35.100
   24.071    24.071     1.980    -0.449    17.954
   25.118    25.118    -0.017    -0.441    36.474
   26.164    26.164     0.009    -0.362    37.534
   27.211    27.211     0.012    -0.318    39.345
   28.257    28.257     0.007    -0.250    38.565
   29.304    29.304    -0.005    -0.196    39.985
   30.350    30.350     0.003    -0.170    39.401
   31.397    31.397    -2.876    -0.152    19.035
   32.444    32.444    -0.000    -0.095    36.602
   33.490    33.490     0.000    -0.089    31.607
   34.537    34.537    -2.964    -0.127    11.915
   35.583    35.583    -0.003    -0.171    15.857
   36.630    36.630    -0.037    -0.264    13.616
   37.676    37.676    -0.038    -0.224    12.904
   38.723    38.723     0.051    -0.152    14.731
   39.770    39.770     0.010    -0.013    14.045
   40.816    40.816    -1.331     0.086     8.959
   41.863    41.863    -1.389     0.108    10.097
   42.909    42.909    -0.000     4.143     1.092
   43.956    43.956     0.005     0.335    17.148
   45.002    45.002     0.530     1.006     6.617
   46.049    46.049    -0.040     0.880     7.466
   47.096    47.096    -0.000     1.147     5.817
   48.142    48.142     0.210     1.995     2.753
   49.189    49.189     0.079     4.512     0.732
   50.235    50.235    -0.000    10.567     0.087
   51.282     0.000     0.000     0.000     0.000
